"review_id","customer_id","product_id","product_parent","review_date"
"R3TE2XRB1YY59L",24732189,"B00NP8J2KS",48764662,"2015-08-31"
"R8VY6DVIII3YM",2944455,"B001SQ0ZV4",936274242,"2015-08-31"
"R25PVGGC7ON158",429832,"B000035YA1",374599281,"2015-08-31"
"R3LY37H2SESSLH",12966095,"B00JK00S0S",715643191,"2015-08-31"
"R3I2LMGRW1CNE5",22526509,"B00ZMBLKPG",966892383,"2015-08-31"
"ROCYPWG21HIOZ",12721365,"B00YGHG87W",341564023,"2015-08-31"
"RLBIHAM7Y3TS6",18441193,"B00T76ZGDO",624435950,"2015-08-31"
"R1RX7RKDL8E4UQ",2331478,"B0045IIQ4U",415902153,"2015-08-31"
"RMI9KVCNC3DYS",32866903,"B006PP3YMU",141943207,"2015-08-31"
"R2AO4LQ4LEOCAG",4310666,"B00J5S9Y32",225291481,"2015-08-31"
"R3UF8G7L67JA2Y",19633477,"B00B98HF1O",678043444,"2015-08-31"
"R27RYQMIVSCO33",40672081,"B00BGA9WK2",636511565,"2015-08-31"
"R894FRA0USAUF",1453081,"B0050SXPBI",999965515,"2015-08-31"
"R26I4OP3M9BC2K",22151364,"B0016Q4UJE",324483221,"2015-08-31"
